periodicity,periodicity_label.value,seasonadj,seasonadj_label.value,geo_level,geo_level_label.value,geography,geography_label.value,ind_level,industry,industry_label.value,ownercode,ownercode_label.value,sex,sex_label.value,agegrp,agegrp_label.value,race,race_label.value,ethnicity,ethnicity_label.value,education,education_label.value,firmage,firmage_label.value,firmsize,firmsize_label.value,year,quarter,EmpTotal,Payroll,sEmpTotal,sPayroll
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,237,Heavy and Civil Engineering Construction,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,9404,102525292.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,238,Specialty Trade Contractors,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,67127,659597072.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,311,Food Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,9241,117271369.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,312,Beverage and Tobacco Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,2144,24306221.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,313,Textile Mills,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,634,4261257.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,314,Textile Product Mills,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,596,4704767.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,315,Apparel Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,1243,8288017.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,316,Leather and Allied Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,182,1332979.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,321,Wood Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,1914,15796176.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,322,Paper Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3058,29132660.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,323,Printing and Related Support Activities,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,6165,63748100.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,324,Petroleum and Coal Products Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,516,7323386.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,325,Chemical Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,8261,142891734.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,326,Plastics and Rubber Products Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3183,29515647.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,327,Nonmetallic Mineral Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,2531,29029952.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,331,Primary Metal Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3083,43995657.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,332,Fabricated Metal Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,5940,67257563.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,333,Machinery Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,4300,59055298.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,334,Computer and Electronic Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,13614,327850122.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,335,"Electrical Equipment, Appliance, and Component Manufacturing",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,1176,16169342.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,336,Transportation Equipment Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,4964,74947705.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,337,Furniture and Related Product Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,1738,14885956.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,339,Miscellaneous Manufacturing,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3048,35786452.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,423,"Merchant Wholesalers, Durable Goods",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,32145,485745438.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,424,"Merchant Wholesalers, Nondurable Goods",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,21624,263055812.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,425,Wholesale Electronic Markets and Agents and Brokers,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,8705,162785945.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,441,Motor Vehicle and Parts Dealers,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,21704,199847459.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,442,Furniture and Home Furnishings Stores,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,6778,49259621.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,443,Electronics and Appliance Stores,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,7335,61788829.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,444,Building Material and Garden Equipment and Supplies Dealers,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,12130,87824559.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,445,Food and Beverage Stores,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,37602,192170818.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,446,Health and Personal Care Stores,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,11750,83873101.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,447,Gasoline Stations,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,4412,20162802.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,448,Clothing and Clothing Accessories Stores,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,20516,72115841.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,7299,29885110.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,452,General Merchandise Stores,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,32807,129927457.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,453,Miscellaneous Store Retailers,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,11683,55713932.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,454,Nonstore Retailers,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3579,31315195.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,481,Air Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,4201,67442662.0,1,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,482,Rail Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,,398436.0,5,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,483,Water Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,428,6592927.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,484,Truck Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,10753,93667217.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,485,Transit and Ground Passenger Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,10505,68919087.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,486,Pipeline Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,,801642.0,5,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,487,Scenic and Sightseeing Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,284,1164728.0,9,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,488,Support Activities for Transportation,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,8169,66924797.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,491,Postal Service,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,144,863302.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,492,Couriers and Messengers,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,5936,50113905.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,493,Warehousing and Storage,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,6728,62775215.0,9,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,511,Publishing Industries (except Internet),A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,6374,89107279.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,512,Motion Picture and Sound Recording Industries,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3086,12991502.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,515,Broadcasting (except Internet),A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,2060,36684304.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,517,Telecommunications,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,12556,201933420.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,518,"Data Processing, Hosting, and Related Services",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,1946,26262981.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,519,Other Information Services,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,3824,29669384.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,521,Monetary Authorities-Central Bank,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,360,4980576.0,9,9
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,522,Credit Intermediation and Related Activities,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,31310,485767234.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,10327,406986508.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,524,Insurance Carriers and Related Activities,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,22583,394270628.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,525,"Funds, Trusts, and Other Financial Vehicles",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,1226,23354305.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,531,Real Estate,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,17361,205268678.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,532,Rental and Leasing Services,A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,8479,83756663.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,321,5072068.0,1,1
Q,Quarterly data,U,Not seasonally adjusted,M,Metropolitan/Micropolitan (state part),2412580,"Baltimore-Columbia-Towson, MD",3,541,"Professional, Scientific, and Technical Services",A00,State and local government plus private ownership,0,All Sexes,A00,All Ages (14-99),A0,All Races,A0,All Ethnicities,E0,All Education Categories,0,All Firm Ages,0,All Firm Sizes,2007,1,119991,1956278385.0,1,1
